year,rmse_log,rmse_log_baseline,n_samples
2017,1.3884465843589424,3.6599786433644477,468
2018,1.434913573023815,4.076154691034325,455
2019,1.4265171190762178,4.015439950416313,386
2020,1.526353565231887,4.052779190981065,232
2021,1.495404207694112,4.416029110189457,290
2022,1.5578513986442426,4.330887558045586,332
2023,1.5517394552735266,4.625583108794679,471
2024,1.7856319683486668,4.736930204424423,483
2025,1.9567243543434671,4.722075624867569,388
